<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTCUSD;D;20131104;000000;209.7480000;229.9700000;209.4001000;226.9001000;71
BTCUSD;D;20131105;000000;227.3949300;250.1405300;222.0523600;244.9553200;25
BTCUSD;D;20131106;000000;245.6901900;269.4256600;245.6901900;263.7367200;49
BTCUSD;D;20131107;000000;262.8628000;348.4093000;262.8628000;289.6288400;33
BTCUSD;D;20131108;000000;295.5160200;330.6478500;295.5160200;330.6478500;6
BTCUSD;D;20131109;000000;340.0000000;350.0000000;312.0100000;338.6800000;15
BTCUSD;D;20131110;000000;321.9202000;400.0000000;289.1897800;317.0000000;46
BTCUSD;D;20131111;000000;350.5738000;362.5306000;329.7286400;340.7250000;18
BTCUSD;D;20131112;000000;360.0000000;500.0000000;346.5550600;355.0000000;51
BTCUSD;D;20131113;000000;365.0000000;406.0000000;365.0000000;398.0000000;26
BTCUSD;D;20131114;000000;405.5547400;425.8413800;404.8000000;425.6209600;15
BTCUSD;D;20131115;000000;421.6209600;435.0000000;387.9123600;410.0000000;100
BTCUSD;D;20131116;000000;414.8989000;444.5073400;414.8989000;438.0000000;23
BTCUSD;D;20131117;000000;444.4400000;491.5010700;430.0000000;491.5010700;17
BTCUSD;D;20131118;000000;496.3649800;700.0000000;496.3649800;700.0000000;41
BTCUSD;D;20131119;000000;700.0000000;800.0000000;484.0000000;587.5208300;55
BTCUSD;D;20131120;000000;581.7009000;636.9482100;450.0000000;591.8100000;57
BTCUSD;D;20131121;000000;600.0000000;720.0000000;583.1104500;670.0604200;72
BTCUSD;D;20131122;000000;672.3166700;810.0000000;642.7005700;796.5658200;18
BTCUSD;D;20131123;000000;796.3486500;904.0765000;768.7623400;830.7575400;43
BTCUSD;D;20131124;000000;838.9787200;838.9787200;760.3800000;808.3347600;13
BTCUSD;D;20131125;000000;805.0000000;818.3664100;730.0000000;801.5988600;11
BTCUSD;D;20131126;000000;801.5988600;900.0000000;768.5803400;893.8702500;14
BTCUSD;D;20131127;000000;893.9000000;1081.0918100;890.0000000;994.9500000;46
BTCUSD;D;20131128;000000;994.9500000;1088.4148600;935.0806000;1000.3289300;33
BTCUSD;D;20131129;000000;1012.3930200;1198.8009000;1012.3930200;1165.4250000;35
BTCUSD;D;20131130;000000;1155.6221900;1189.1014500;1094.3828300;1114.2400100;23
BTCUSD;D;20131201;000000;1112.0159800;1130.0000000;770.0000000;953.7294300;53
BTCUSD;D;20131202;000000;952.8975700;1059.0000000;946.1451400;1022.9544000;37
BTCUSD;D;20131203;000000;1031.1543900;1076.5208700;995.4975000;1063.4631800;23
